code, option_real_name
opt_0, Банкомат 24 часа
opt_1, Зона обслуживания Premium Banking
opt_2, Кредитование корпоративного и среднего бизнеса
opt_3, Детский уголок
opt_4, Получение кредитной дебетовой карты или карты на которую зачислен кредит
opt_5, Сейфовые ячейки
opt_6, РКО корпоративного и среднего бизнеса
opt_7, Зона обслуживания Private Banking
opt_8, Адаптировано для лиц с ограниченными возможностями
opt_9, Обмен валюты
opt_10, Сбор данных в ЕБС
opt_11, Кредитование малого бизнеса
opt_12, РКО малого бизнеса
opt_13, Обслуживание физических лиц
opt_14, Центр обслуживания ЕСИА
opt_15, Электронная очередь
opt_16, Ипотечный центр
